seed,condition,training_blocks,p_choose_A,value_A,value_B
0,reward_A,40,0.9895643993241326,0.9643948275294605,0.053986478894779144
0,reward_B,0,0.5,0.0,0.0
0,reward_B,1,0.40712644384862223,0.004828532235939487,0.07999999999999996
0,reward_B,2,0.3270306056168769,0.009270781893003899,0.15359999999999996
0,reward_B,3,0.2611940388302398,0.01335765157750346,0.22131199999999995
0,reward_B,4,0.2087548343644065,0.017117571687242927,0.28360704000000003
0,reward_B,5,0.16774290898811042,0.020576698188202958,0.34091847679999987
0,reward_B,6,0.13593989175850918,0.023759094569086536,0.3936449986559998
0,reward_B,7,0.11131958266670418,0.026686899239499184,0.4421533987635199
0,reward_B,8,0.09220508257563896,0.02938047953627898,0.48678112686243824
0,reward_B,9,0.07727930998875904,0.03185857340931608,0.5278386367134431
0,reward_B,10,0.0655364815327092,0.03413841977251053,0.5656115457763677
0,reward_B,11,0.05621929984515272,0.036235878426649326,0.6003626221142582
0,reward_B,12,0.04876072970524251,0.0381655403884571,0.6323336123451176
0,reward_B,13,0.042736290021219155,0.03994082939332022,0.6617469233575082
0,reward_B,14,0.037827209779144236,0.04157409527779399,0.6888071694889075
0,reward_B,15,0.033792834666349844,0.043076699891510195,0.7137025959297949
0,reward_B,16,0.030450283171440416,0.04445909613612897,0.7366063882554112
0,reward_B,17,0.027659551630978163,0.045730900681178355,0.7576778771949784
0,reward_B,18,0.02531262659493771,0.04690096086262374,0.7770636470193801
0,reward_B,19,0.023325512664568813,0.04797741622955343,0.7948985552578297
0,reward_B,20,0.021632372472915485,0.048967755167128924,0.8113066708372033
0,reward_B,21,0.020181196593604643,0.04987886698969812,0.826402137170227
0,reward_B,22,0.018930584382820477,0.05071708986646195,0.8402899661966088
0,reward_B,23,0.017847334865255866,0.05148825491308451,0.8530667689008802
0,reward_B,24,0.016904631374394546,0.05219772675597745,0.8648214273888097
0,reward_B,25,0.016080663998740228,0.05285044085143886,0.875635713197705
0,reward_B,26,0.015357576900727627,0.053450937819263356,0.8855848561418885
0,reward_B,27,0.01472065829606134,0.054003395029662116,0.8947380676505374
0,reward_B,28,0.014157712897806627,0.054511655663228686,0.9031590222384944
0,reward_B,29,0.013658572479332469,0.054979255446110264,0.9109063004594149
0,reward_B,30,0.013214711680051797,0.05540944724636099,0.9180337964226617
0,reward_B,31,0.012818944525211172,0.055805223702591666,0.9245910927088488
0,reward_B,32,0.012465183241903842,0.056169338042323935,0.9306238052921408
0,reward_B,33,0.012148245454403758,0.05650432323487764,0.9361739008687696
0,reward_B,34,0.01186369917737236,0.05681250961202711,0.941279988799268
0,reward_B,35,0.011607737512417381,0.05709604107900457,0.9459775896953265
0,reward_B,36,0.011377076819012212,0.057356890028623875,0.9502993825197005
0,reward_B,37,0.01116887353855821,0.057596871062273625,0.9542754319181244
0,reward_B,38,0.010980655918954028,0.05781765361323121,0.9579333973646744
0,reward_B,39,0.010810267702810128,0.05802077356011248,0.9612987255755004
0,reward_B,40,0.010655821468711303,0.05820764391124322,0.9643948275294605
0,no_reward,0,0.5,0.0,0.0
0,no_reward,1,0.5,0.0,0.0
0,no_reward,2,0.5,0.0,0.0
0,no_reward,3,0.5,0.0,0.0
0,no_reward,4,0.5,0.0,0.0
0,no_reward,5,0.5,0.0,0.0
0,no_reward,6,0.5,0.0,0.0
0,no_reward,7,0.5,0.0,0.0
0,no_reward,8,0.5,0.0,0.0
0,no_reward,9,0.5,0.0,0.0
0,no_reward,10,0.5,0.0,0.0
0,no_reward,11,0.5,0.0,0.0
0,no_reward,12,0.5,0.0,0.0
0,no_reward,13,0.5,0.0,0.0
0,no_reward,14,0.5,0.0,0.0
0,no_reward,15,0.5,0.0,0.0
0,no_reward,16,0.5,0.0,0.0
0,no_reward,17,0.5,0.0,0.0
0,no_reward,18,0.5,0.0,0.0
0,no_reward,19,0.5,0.0,0.0
0,no_reward,20,0.5,0.0,0.0
0,no_reward,21,0.5,0.0,0.0
0,no_reward,22,0.5,0.0,0.0
0,no_reward,23,0.5,0.0,0.0
0,no_reward,24,0.5,0.0,0.0
0,no_reward,25,0.5,0.0,0.0
0,no_reward,26,0.5,0.0,0.0
0,no_reward,27,0.5,0.0,0.0
0,no_reward,28,0.5,0.0,0.0
0,no_reward,29,0.5,0.0,0.0
0,no_reward,30,0.5,0.0,0.0
0,no_reward,31,0.5,0.0,0.0
0,no_reward,32,0.5,0.0,0.0
0,no_reward,33,0.5,0.0,0.0
0,no_reward,34,0.5,0.0,0.0
0,no_reward,35,0.5,0.0,0.0
0,no_reward,36,0.5,0.0,0.0
0,no_reward,37,0.5,0.0,0.0
0,no_reward,38,0.5,0.0,0.0
0,no_reward,39,0.5,0.0,0.0
0,no_reward,40,0.5,0.0,0.0
0,frozen,0,0.5,0.0,0.0
0,frozen,1,0.5,0.0,0.0
0,frozen,2,0.5,0.0,0.0
0,frozen,3,0.5,0.0,0.0
0,frozen,4,0.5,0.0,0.0
0,frozen,5,0.5,0.0,0.0
0,frozen,6,0.5,0.0,0.0
0,frozen,7,0.5,0.0,0.0
0,frozen,8,0.5,0.0,0.0
0,frozen,9,0.5,0.0,0.0
0,frozen,10,0.5,0.0,0.0
0,frozen,11,0.5,0.0,0.0
0,frozen,12,0.5,0.0,0.0
0,frozen,13,0.5,0.0,0.0
0,frozen,14,0.5,0.0,0.0
0,frozen,15,0.5,0.0,0.0
0,frozen,16,0.5,0.0,0.0
0,frozen,17,0.5,0.0,0.0
0,frozen,18,0.5,0.0,0.0
0,frozen,19,0.5,0.0,0.0
0,frozen,20,0.5,0.0,0.0
0,frozen,21,0.5,0.0,0.0
0,frozen,22,0.5,0.0,0.0
0,frozen,23,0.5,0.0,0.0
0,frozen,24,0.5,0.0,0.0
0,frozen,25,0.5,0.0,0.0
0,frozen,26,0.5,0.0,0.0
0,frozen,27,0.5,0.0,0.0
0,frozen,28,0.5,0.0,0.0
0,frozen,29,0.5,0.0,0.0
0,frozen,30,0.5,0.0,0.0
0,frozen,31,0.5,0.0,0.0
0,frozen,32,0.5,0.0,0.0
0,frozen,33,0.5,0.0,0.0
0,frozen,34,0.5,0.0,0.0
0,frozen,35,0.5,0.0,0.0
0,frozen,36,0.5,0.0,0.0
0,frozen,37,0.5,0.0,0.0
0,frozen,38,0.5,0.0,0.0
0,frozen,39,0.5,0.0,0.0
0,frozen,40,0.5,0.0,0.0
0,nonselective_reward,0,0.5,0.0,0.0
0,nonselective_reward,1,0.5002100964284353,0.04231769547325093,0.042149618320610704
0,nonselective_reward,2,0.5003953173806386,0.08276097580246922,0.0824447218320612
0,nonselective_reward,3,0.5005579492221598,0.12141906344770359,0.12097270388470238
0,nonselective_reward,4,0.5007000856437235,0.158376495095626,0.15781642621464576
0,nonselective_reward,5,0.5008236432951502,0.1937133966534622,0.19305448142134118
0,nonselective_reward,6,0.5009303761753151,0.2275057403782309,0.2267614385789547
0,nonselective_reward,7,0.5010218888755671,0.2598255853940815,0.25900807315536956
0,nonselective_reward,8,0.5010996487666227,0.2907413027582294,0.28986158232655335
0,nonselective_reward,9,0.5011649972120515,0.32031778615066664,0.3193857866944537
0,nonselective_reward,10,0.5012191598850722,0.34861664918398905,0.34764131934301845
0,nonselective_reward,11,0.5012632562594375,0.3756964102567978,0.3746858030989195
0,nonselective_reward,12,0.5012983083396791,0.40161266580674493,0.40057401680066207
0,nonselective_reward,13,0.501325248690902,0.42641825275701295,0.4253580513216002
0,nonselective_reward,14,0.5013449278236074,0.4501634008923995,0.44908745603857225
0,nonselective_reward,15,0.5013581209846759,0.47289587584791004,0.4718093763881104
0,nonselective_reward,16,0.5013655344016353,0.4946611133434897,0.4935686831061261
0,nonselective_reward,17,0.5013678110236193,0.5155023452529337,0.5144080937043757
0,nonselective_reward,18,0.5013655357990239,0.5354607180528543,0.5343682866975716
0,nonselective_reward,19,0.5013592405267029,0.5545754041585511,0.5534880090585165
0,nonselective_reward,20,0.5013494083146445,0.5728837066175196,0.5718041773448418
0,nonselective_reward,21,0.5013364776773879,0.590421157597905,0.5893519729096587
0,nonselective_reward,22,0.5013208463009768,0.6072216110782604,0.6061649315794477
0,nonselective_reward,23,0.5013028745019618,0.6233173301163146,0.6222750281556892
0,nonselective_reward,24,0.5012828884048781,0.6387390690479218,0.6377127560718705
0,nonselective_reward,25,0.501261182860681,0.6535161509427819,0.6525072025144796
0,nonselective_reward,26,0.5012380241268506,0.6676765406207562,0.6666861192952425
0,nonselective_reward,27,0.5012136523282363,0.6812469135115018,0.6802759897420776
0,nonselective_reward,28,0.5011882837161953,0.6942527206205966,0.6933020918578976
0,nonselective_reward,29,0.5011621127421927,0.7067182498472024,0.7057885579793732
0,nonselective_reward,30,0.5011353139607517,0.7186666838815119,0.717758431152
0,nonselective_reward,31,0.5011080437754533,0.7301201548946383,0.7292337184231643
0,nonselective_reward,32,0.5010804420406011,0.7410997962191581,0.7402354412413301
0,nonselective_reward,33,0.5010526335301719,0.7516257912051052,0.75078368313685
0,nonselective_reward,34,0.5010247292847361,0.7617174194237728,0.7608976348482076
0,nonselective_reward,35,0.5009968278461967,0.7713931003801311,0.7705956370466233
0,nonselective_reward,36,0.5009690163893994,0.7806704348839435,0.7798952208018625
0,nonselective_reward,37,0.5009413717589584,0.7895662442197124,0.7888131459227032
0,nonselective_reward,38,0.5009139614189684,0.7980966072463304,0.7973654372968018
0,nonselective_reward,39,0.5008868443226653,0.8062768955487236,0.8055674193465935
0,nonselective_reward,40,0.5008600717085393,0.8141218067557892,0.813433748710327
1,reward_A,0,0.5,0.0,0.0
1,reward_A,1,0.583660493769529,0.07999999999999985,0.01243631613324614
1,reward_A,2,0.6566974687852238,0.15359999999999974,0.02387772697583268
1,reward_A,3,0.7179956218681137,0.22131199999999973,0.03440382495101235
1,reward_A,4,0.7680968535984208,0.2836070399999998,0.04408783508817771
1,reward_A,5,0.8083937488841784,0.34091847679999965,0.052997124414369545
1,reward_A,6,0.8405406976307237,0.39364499865599967,0.06119367059446634
1,reward_A,7,0.8661217321049163,0.4421533987635198,0.06873449308015533
1,reward_A,8,0.8865067509624696,0.48678112686243813,0.07567204976698905
1,reward_A,9,0.9028166576397437,0.5278386367134431,0.08205460191887615
1,reward_A,10,0.9159403810128799,0.5656115457763676,0.08792654989861237
1,reward_A,11,0.926570842021112,0.6003626221142582,0.09332874203996955
1,reward_A,12,0.9352435863705787,0.6323336123451175,0.09829875881001826
1,reward_A,13,0.9423713051494351,0.6617469233575082,0.10287117423846304
1,reward_A,14,0.9482722308064571,0.6888071694889075,0.10707779643263227
1,reward_A,15,0.9531925046814588,0.7137025959297949,0.11094788885126783
1,reward_A,16,0.9573233823157059,0.7366063882554112,0.11450837387641266
1,reward_A,17,0.9608143005916915,0.7576778771949784,0.1177840200995458
1,reward_A,18,0.9637827423382386,0.7770636470193801,0.12079761462482863
1,reward_A,19,0.9663216700543141,0.7948985552578296,0.12357012158808856
1,reward_A,20,0.9685051333540065,0.8113066708372032,0.1261208279942876
1,reward_A,21,0.9703925107797257,0.826402137170227,0.12846747788799084
1,reward_A,22,0.9720317315601579,0.8402899661966088,0.13062639579019775
1,reward_A,23,0.9734617344712921,0.8530667689008801,0.13261260026022836
1,reward_A,24,0.9747143544981851,0.8648214273888097,0.13443990837265618
1,reward_A,25,0.9758157786446867,0.875635713197705,0.13612103183608992
1,reward_A,26,0.9767876758212485,0.8855848561418885,0.13766766542244913
