bodyId,type,instance,class,somaSide
78150,KCa'b'-m,KCa'b'-m_L,Kenyon_Cell,L
78155,KCab-c,KCab-c_R,Kenyon_Cell,R
78189,KCa'b'-m,KCa'b'-m_L,Kenyon_Cell,L
78194,KCa'b'-m,KCa'b'-m_L,Kenyon_Cell,L
78203,KCab-s,KCab-s_R,Kenyon_Cell,R
78222,KCab-m,KCab-m_L,Kenyon_Cell,L
78234,KCab-s,KCab-s_R,Kenyon_Cell,R
78251,KCg-m,KCg-m_R,Kenyon_Cell,R
78261,KCab-m,KCab-m_L,Kenyon_Cell,L
78356,KCab-s,KCab-s_R,Kenyon_Cell,R
78359,KCa'b'-ap2,KCa'b'-ap2_R,Kenyon_Cell,R
78361,KCg-m,KCg-m_R,Kenyon_Cell,R
78363,KCab-m,KCab-m_L,Kenyon_Cell,L
78379,KCa'b'-ap2,KCa'b'-ap2_R,Kenyon_Cell,R
78458,KCg-m,KCg-m_R,Kenyon_Cell,R
78476,KCab-c,KCab-c_L,Kenyon_Cell,L
78480,KCa'b'-ap2,KCa'b'-ap2_R,Kenyon_Cell,R
78483,KCg-m,KCg-m_L,Kenyon_Cell,L
78494,KCab-c,KCab-c_R,Kenyon_Cell,R
78512,KCa'b'-ap2,KCa'b'-ap2_L,Kenyon_Cell,L
78514,KCg-m,KCg-m_L,Kenyon_Cell,L
78531,KCab-m,KCab-m_R,Kenyon_Cell,R
78544,KCab-s,KCab-s_R,Kenyon_Cell,R
78589,KCab-s,KCab-s_R,Kenyon_Cell,R
78747,KCab-s,KCab-s_L,Kenyon_Cell,L
78768,KCg-d,KCg-d_R,Kenyon_Cell,R
78772,KCab-c,KCab-c_R,Kenyon_Cell,R
78803,KCab-s,KCab-s_R,Kenyon_Cell,R
78811,KCg-m,KCg-m_R,Kenyon_Cell,R
78858,KCg-m,KCg-m_R,Kenyon_Cell,R
78862,KCg-m,KCg-m_L,Kenyon_Cell,L
78872,KCg-m,KCg-m_L,Kenyon_Cell,L
78880,KCg-m,KCg-m_L,Kenyon_Cell,L
78909,KCab-c,KCab-c_R,Kenyon_Cell,R
78920,KCg-m,KCg-m_R,Kenyon_Cell,R
78924,KCab-s,KCab-s_R,Kenyon_Cell,R
78928,KCab-s,KCab-s_R,Kenyon_Cell,R
78946,KCab-s,KCab-s_R,Kenyon_Cell,R
78959,KCab-m,KCab-m_R,Kenyon_Cell,R
78984,KCab-s,KCab-s_R,Kenyon_Cell,R
78992,KCg-m,KCg-m_L,Kenyon_Cell,L
78997,KCa'b'-m,KCa'b'-m_R,Kenyon_Cell,R
79013,KCab-m,KCab-m_L,Kenyon_Cell,L
79038,KCab-c,KCab-c_R,Kenyon_Cell,R
79052,KCa'b'-ap1,KCa'b'-ap1_L,Kenyon_Cell,L
79092,KCab-c,KCab-c_R,Kenyon_Cell,R
79184,KCab-p,KCab-p_R,Kenyon_Cell,R
79199,KCa'b'-ap2,KCa'b'-ap2_R,Kenyon_Cell,R
79203,KCab-c,KCab-c_R,Kenyon_Cell,R
79218,KCab-c,KCab-c_L,Kenyon_Cell,L
79224,KCa'b'-m,KCa'b'-m_L,Kenyon_Cell,L
79275,KCg-m,KCg-m_L,Kenyon_Cell,L
79299,KCab-s,KCab-s_L,Kenyon_Cell,L
79362,KCg-s3,KCg-s3_R,Kenyon_Cell,R
79364,KCa'b'-ap1,KCa'b'-ap1_R,Kenyon_Cell,R
79372,KCg-m,KCg-m_R,Kenyon_Cell,R
79419,KCg-d,KCg-d_L,Kenyon_Cell,L
79444,KCg-m,KCg-m_R,Kenyon_Cell,R
79476,KCa'b'-ap1,KCa'b'-ap1_R,Kenyon_Cell,R
79504,KCab-c,KCab-c_R,Kenyon_Cell,R
79508,KCab-s,KCab-s_R,Kenyon_Cell,R
79522,KCab-p,KCab-p_R,Kenyon_Cell,R
79536,KCab-s,KCab-s_R,Kenyon_Cell,R
79562,KCab-c,KCab-c_R,Kenyon_Cell,R
79590,KCab-c,KCab-c_R,Kenyon_Cell,R
79622,KCg-m,KCg-m_L,Kenyon_Cell,L
79653,KCg-m,KCg-m_R,Kenyon_Cell,R
79656,KCa'b'-ap2,KCa'b'-ap2_L,Kenyon_Cell,L
79684,KCa'b'-m,KCa'b'-m_R,Kenyon_Cell,R
79690,KCg-m,KCg-m_L,Kenyon_Cell,L
79735,KCab-c,KCab-c_R,Kenyon_Cell,R
79761,KCg-m,KCg-m_L,Kenyon_Cell,L
79776,KCg-m,KCg-m_L,Kenyon_Cell,L
79777,KCab-c,KCab-c_R,Kenyon_Cell,R
79783,KCg-m,KCg-m_L,Kenyon_Cell,L
79793,KCa'b'-m,KCa'b'-m_L,Kenyon_Cell,L
79795,KCab-m,KCab-m_L,Kenyon_Cell,L
79821,KCab-s,KCab-s_R,Kenyon_Cell,R
79831,KCab-c,KCab-c_L,Kenyon_Cell,L
79832,KCg-m,KCg-m_R,Kenyon_Cell,R
79846,KCa'b'-m,KCa'b'-m_R,Kenyon_Cell,R
79860,KCa'b'-m,KCa'b'-m_R,Kenyon_Cell,R
79877,KCab-c,KCab-c_R,Kenyon_Cell,R
79893,KCa'b'-ap2,KCa'b'-ap2_L,Kenyon_Cell,L
79899,KCa'b'-ap2,KCa'b'-ap2_R,Kenyon_Cell,R
79911,KCab-m,KCab-m_L,Kenyon_Cell,L
79920,KCab-c,KCab-c_R,Kenyon_Cell,R
79931,KCg-m,KCg-m_R,Kenyon_Cell,R
79945,KCab-c,KCab-c_R,Kenyon_Cell,R
79950,KCg-m,KCg-m_L,Kenyon_Cell,L
79972,KCab-m,KCab-m_R,Kenyon_Cell,R
80009,KCab-c,KCab-c_R,Kenyon_Cell,R
80013,KCab-s,KCab-s_R,Kenyon_Cell,R
80027,KCg-m,KCg-m_R,Kenyon_Cell,R
80076,KCab-m,KCab-m_L,Kenyon_Cell,L
80079,KCg-m,KCg-m_R,Kenyon_Cell,R
80082,KCab-s,KCab-s_R,Kenyon_Cell,R
80083,KCg-m,KCg-m_R,Kenyon_Cell,R
80094,KCg-m,KCg-m_L,Kenyon_Cell,L
80123,KCg-m,KCg-m_R,Kenyon_Cell,R
80128,KCg-s4,KCg-s4_R,Kenyon_Cell,R
80131,KCab-s,KCab-s_R,Kenyon_Cell,R
80143,KCg-m,KCg-m_L,Kenyon_Cell,L
80155,KCab-s,KCab-s_R,Kenyon_Cell,R
80168,KCab-c,KCab-c_R,Kenyon_Cell,R
80172,KCab-s,KCab-s_R,Kenyon_Cell,R
80201,KCab-s,KCab-s_R,Kenyon_Cell,R
80274,KCa'b'-m,KCa'b'-m_L,Kenyon_Cell,L
80309,KCab-m,KCab-m_L,Kenyon_Cell,L
80325,KCg-m,KCg-m_L,Kenyon_Cell,L
80348,KCab-m,KCab-m_L,Kenyon_Cell,L
80380,KCg-m,KCg-m_L,Kenyon_Cell,L
80382,KCab-c,KCab-c_R,Kenyon_Cell,R
80395,KCab-c,KCab-c_L,Kenyon_Cell,L
80397,KCg-m,KCg-m_R,Kenyon_Cell,R
80409,KCab-m,KCab-m_L,Kenyon_Cell,L
80532,KCg-m,KCg-m_L,Kenyon_Cell,L
80539,KCab-s,KCab-s_R,Kenyon_Cell,R
80543,KCab-p,KCab-p_R,Kenyon_Cell,R
80562,KCab-s,KCab-s_R,Kenyon_Cell,R
80566,KCa'b'-ap2,KCa'b'-ap2_L,Kenyon_Cell,L
80611,KCa'b'-ap1,KCa'b'-ap1_L,Kenyon_Cell,L
80612,KCab-p,KCab-p_L,Kenyon_Cell,L
80614,KCg-m,KCg-m_R,Kenyon_Cell,R
80637,KCa'b'-ap2,KCa'b'-ap2_R,Kenyon_Cell,R
80663,KCg-m,KCg-m_L,Kenyon_Cell,L
80704,KCg-m,KCg-m_L,Kenyon_Cell,L
80708,KCg-m,KCg-m_L,Kenyon_Cell,L
80733,KCab-c,KCab-c_R,Kenyon_Cell,R
80735,KCa'b'-m,KCa'b'-m_L,Kenyon_Cell,L
80747,KCab-s,KCab-s_L,Kenyon_Cell,L
80779,KCg-m,KCg-m_L,Kenyon_Cell,L
80814,KCab-m,KCab-m_L,Kenyon_Cell,L
